energy,photons,n_squared,visibility,detector_efficiency,absorbed_in_sample,total_weight
16.0,18072480.0,4.63876253209e-12,0.0356778852802,1.0,3.99123831373e-07,0.257350204366
17.0,18944150.0,3.63676444636e-12,0.00394965122929,1.0,4.14214571294e-06,0.309926879507
18.0,19534210.0,2.89133907327e-12,0.169076252464,0.999999999998,2.62829134101e-05,86.8064447753
19.0,19911510.0,2.32752185892e-12,0.48892708061,0.999999999924,0.000115409463421,1123.54303182
20.0,20124220.0,1.89470364906e-12,0.636619772368,0.999999998206,0.000382378783438,4898.83673406
21.0,20164040.0,1.55799576359e-12,0.513514217281,0.999999976101,0.00101731886904,10533.849563
22.0,20079980.0,1.29288795399e-12,0.274798182959,0.999999795996,0.00228786335476,12624.2947609
23.0,19882660.0,1.08185693729e-12,0.089299145813,0.999998774001,0.00450831283228,8004.52015324
24.0,19584230.0,9.12184763505e-13,0.0110374516635,0.99999449237,0.00794494175051,1717.36908648
25.0,19218750.0,7.74515953404e-13,9.35411414451e-48,0.999980254478,0.0128681477753,2.31331762512e-42
26.0,18823920.0,6.61871031828e-13,0.0087255638568,0.999941261506,0.0194246780909,3190.30268527
27.0,18374570.0,5.68981992301e-13,0.0575488020664,0.9998483625,0.0277714148555,29361.9989041
28.0,17900210.0,4.91834999269e-13,0.154300802901,0.999653136846,0.0379653585988,104824.58492
29.0,17426900.0,4.27331636693e-13,0.281852630732,0.999290699438,0.0496986469012,243937.541219
30.0,16927900.0,3.73066224765e-13,0.413496671566,0.998669083977,0.0630556989573,440779.159571
31.0,16436560.0,3.27148089113e-13,0.524981867908,0.99770898881,0.0773648186397,666043.554691
32.0,15935630.0,2.88082970526e-13,0.600622975292,0.996285614576,0.0928954797038,885828.440877
33.0,15453960.0,2.5467945585e-13,0.634458998826,0.994346309563,0.108844172076,1061173.00095
34.0,14983950.0,2.2598027719e-13,0.628507353992,0.991762351455,0.125528710767,1172431.19475
35.0,14515530.0,2.01212743462e-13,0.589926134246,0.988524309505,0.142298039717,1204527.73698
36.0,14050800.0,1.79747374853e-13,0.528247648301,0.984553186652,0.159263129906,1163839.39318
37.0,13609030.0,1.61070020501e-13,0.453238008358,0.979832906286,0.176239587115,1065145.6085
38.0,13179350.0,1.44756937502e-13,0.37352150697,0.974442524827,0.19280372169,924871.17851
39.0,12765490.0,1.30458111649e-13,0.295883635855,0.968252050542,0.209423464829,765900.234356
40.0,12357130.0,1.17882036411e-13,0.225079079039,0.961422012047,0.225492709688,602975.007666
41.0,11969940.0,1.06785788517e-13,0.163963821804,0.953883774653,0.241333155645,451806.484154
42.0,11598350.0,9.69651277655e-14,0.113800918969,0.945669349524,0.256929336481,320697.06683
43.0,11233890.0,8.82479280951e-14,0.0746310465374,0.937208408398,0.271491252126,213324.980966
44.0,10885290.0,8.048882444e-14,0.0456380086488,0.928171747249,0.285829196082,131795.815792
45.0,10551930.0,7.35641853552e-14,0.0254703654864,0.918718175083,0.299730629895,74008.3144038
46.0,10224730.0,6.73684238114e-14,0.0125023129754,0.909263824903,0.312654779729,36341.0273528
47.0,9911928.0,6.18115091791e-14,0.0050310247805,0.899420109768,0.325315653112,14590.9022946
48.0,9611161.0,5.68160217225e-14,0.00141570618408,0.889304534516,0.33760480478,4085.15093469
49.0,9322899.0,5.23150996831e-14,0.000167435972255,0.879493056331,0.348874842601,478.962835484
50.0,9043219.0,4.82512344899e-14,1.16926426806e-48,0.86945250597,0.359886794525,3.30862465131e-42
51.0,8775443.0,4.45744691259e-14,0.00014852348604,0.859213607684,0.370641074499,415.067640757
52.0,8517696.0,4.12413761229e-14,0.0011149048422,0.849414128408,0.380505774704,3069.30940466
53.0,8267196.0,3.82140778815e-14,0.00352364376285,0.839640600229,0.389992165352,9538.92737201
54.0,8027753.0,3.5459554274e-14,0.00780814191247,0.829779410502,0.399250026916,20765.8306542
55.0,7797959.0,3.29488353242e-14,0.0142361066556,0.820068481456,0.408084463256,37151.1585315
56.0,7573500.0,3.06564407527e-14,0.022936294187,0.810873129059,0.416207809415,58625.0213277
57.0,7357617.0,2.85600089386e-14,0.0339246383431,0.801663075283,0.424136740696,84869.2137017
58.0,31843820.0,2.6639775775e-14,0.0471285339656,0.792451145263,0.431875920744,513618.405991
59.0,49811320.0,2.48782500256e-14,0.062408580071,0.783632925889,0.439121898432,1069720.01818
60.0,6756650.0,2.32599491716e-14,0.0795774715459,0.775213994432,0.445902421271,185858.742065
61.0,6570999.0,2.17711325501e-14,0.098415990872,0.766831395829,0.452525856142,224409.043566
62.0,6389134.0,2.03995635241e-14,0.118686222029,0.75849190831,0.458996539358,263999.233358
63.0,6214322.0,1.9134338015e-14,0.140142211201,0.750541729406,0.46507329004,303989.76385
64.0,6047495.0,1.79656897511e-14,0.162538352478,0.743028402822,0.470742076255,343811.029762
65.0,5883011.0,1.68849227213e-14,0.185635796464,0.735574429194,0.476286197342,382609.725854
66.0,5725755.0,1.58842241e-14,0.209207176906,0.728182900593,0.48170925307,420179.447051
67.0,19341370.0,1.49565724691e-14,0.233039933636,0.720961842241,0.486944648306,1582375.16414
68.0,5426279.0,1.40956649201e-14,0.256938485236,0.714372679416,0.49169654999,489726.13038
69.0,8853294.0,1.32958233232e-14,0.280725476165,0.707849523688,0.496350347901,873204.546824
70.0,4759756.0,1.25519225337e-14,0.304242293491,0.701393404612,0.500908879472,508773.736515
71.0,4650523.0,1.18593322775e-14,0.327349019605,0.695005176203,0.505374886717,534705.359607
72.0,4539274.0,1.12138665126e-14,0.349923960583,0.689010245784,0.509551345754,557665.416515
73.0,4436284.0,1.06117164987e-14,0.371862865704,0.683351952945,0.513481296467,578856.909526
74.0,4334453.0,1.00494492136e-14,0.393077932287,0.677757689083,0.517336195745,597393.206336
75.0,4233711.0,9.52393618253e-15,0.413496671566,0.672227355754,0.521118152827,613261.372549
76.0,4135637.0,9.03233151937e-15,0.433060695501,0.666760783911,0.524829202708,626728.178952
77.0,4040248.0,8.57204601882e-15,0.451724471189,0.661671291854,0.528289863472,637964.058275
78.0,3946271.0,8.14070562295e-15,0.469454078451,0.656837522084,0.531575551136,646849.094586
79.0,3854365.0,7.7361598305e-15,0.486225997122,0.652060978521,0.53480331489,653541.719608
80.0,3765458.0,7.35643579215e-15,0.502025943162,0.647341115628,0.537974713289,658322.992221
81.0,3678052.0,6.99972806112e-15,0.516847766798,0.64267736714,0.541091250174,661064.789868
82.0,3592428.0,6.66438077436e-15,0.530692421179,0.638221394715,0.544070035023,661998.681481
83.0,3509224.0,6.34887808316e-15,0.543567006351,0.634107667544,0.546839517228,661434.851728
84.0,3428251.0,6.05182799431e-15,0.555483890508,0.630042960545,0.54956392115,659374.969762
85.0,3347776.0,5.77195040944e-15,0.566459908336,0.626026603805,0.55224439999,655616.204847
86.0,3269923.0,5.5080676438e-15,0.57651563464,0.622057928653,0.554882067434,650698.993615
87.0,3194349.0,5.25909516871e-15,0.58567473035,0.618136268579,0.557477999323,644689.814242
88.0,3119186.0,5.0240341308e-15,0.59396335718,0.614519523075,0.559899202849,637450.491342
89.0,3046423.0,4.80195901874e-15,0.601409656727,0.611050596678,0.562229232559,629435.448555
90.0,2975647.0,4.59202045808e-15,0.608043289517,0.607622222063,0.564524478701,620629.388204
91.0,2905683.0,4.39343112418e-15,0.613895029383,0.60423375859,0.566785776938,610894.589296
92.0,2837567.0,4.20546264006e-15,0.618996408584,0.600884575146,0.56901393555,600548.67408
93.0,2771480.0,4.02744058621e-15,0.623379409159,0.59757405023,0.571209736565,589727.708124
94.0,2705770.0,3.85873866337e-15,0.627076196204,0.594511529529,0.573266492887,578266.498183
95.0,2641664.0,3.69877888463e-15,0.630118888971,0.591579273889,0.575245799734,566456.393026
96.0,2579518.0,3.54702298553e-15,0.632539365913,0.588680139679,0.57719789226,554408.962502
97.0,2518270.0,3.40297118413e-15,0.6343691001,0.585813573544,0.579123384662,541969.496999
98.0,2458320.0,3.26615886115e-15,0.635639021658,0.582979033206,0.581022871982,529291.755644
99.0,2399789.0,3.13615376097e-15,0.636379404191,0.580175987269,0.582896930869,516464.758778
100.0,2342467.0,3.01255338882e-15,0.636619772368,0.577464012573,0.584716830324,503528.576935
101.0,2285702.0,2.89498195012e-15,0.63638882814,0.57496330224,0.58642470425,490449.774221
102.0,2230799.0,2.78309081522e-15,0.635714393282,0.572489673993,0.588110827783,477473.55011
103.0,2176786.0,2.67655381261e-15,0.634623366166,0.570042669481,0.589775662787,464436.139523
104.0,2123588.0,2.57506641352e-15,0.633141690899,0.567621840484,0.591419657449,451363.074672
105.0,2071606.0,2.4783441062e-15,0.631294337156,0.565226748648,0.593043246795,438377.367888
106.0,2021123.0,2.38612090625e-15,0.629105289197,0.562856965242,0.594646853184,425572.200119
107.0,1970621.0,2.29814960587e-15,0.626597542738,0.560581395393,0.596198004347,412687.193658
108.0,1921725.0,2.21419369988e-15,0.623793108494,0.558449574027,0.597673687969,400110.467467
109.0,1874126.0,2.13403701751e-15,0.620713021349,0.556339665031,0.599132006157,387750.339874
110.0,1826556.0,2.05747509824e-15,0.617377354216,0.554251303182,0.600573303955,375367.297278
111.0,1780045.0,1.9843162042e-15,0.613805235788,0.552184131535,0.601997916779,363195.517973
112.0,1734773.0,1.9143804234e-15,0.610014871451,0.55013780119,0.603406170759,351288.806337
113.0,1689978.0,1.84749884348e-15,0.606023566756,0.548111971068,0.604798383074,339508.360189
114.0,1645766.0,1.78351253617e-15,0.601847752874,0.546107413963,0.606174367679,327891.659651
115.0,1602913.0,1.72227265744e-15,0.597503013602,0.544281034333,0.607464268224,316660.570557
116.0,1560440.0,1.66363892683e-15,0.593004113467,0.54247243392,0.60874007244,305572.555428
117.0,1518467.0,1.60747937623e-15,0.588365026623,0.540681324294,0.610002043208,294662.497997
118.0,1477657.0,1.55366976827e-15,0.58359896619,0.538907423537,0.611250436483,284067.466357
119.0,1437376.0,1.50209308314e-15,0.578718413824,0.537150456053,0.612485501533,273671.423862
120.0,1397474.0,1.45263904326e-15,0.573735149262,0.535410152388,0.613707481164,263453.039372
121.0,1358430.0,1.40520367304e-15,0.568660279681,0.533686249058,0.614916611935,253508.424939
122.0,1320254.0,1.35968863865e-15,0.563504268709,0.531995177945,0.616105422127,243847.006761
123.0,1282068.0,1.31600158943e-15,0.558276964958,0.530420723073,0.617235445161,234332.275763
124.0,1244786.0,1.27405517772e-15,0.552987629981,0.528860698991,0.618354009264,225106.786028
125.0,1208454.0,1.23376683782e-15,0.547644965563,0.527314881099,0.619461314359,216178.968546
126.0,1171898.0,1.19505853726e-15,0.542257140287,0.525783049723,0.620557555428,207340.308902
127.0,1136123.0,1.15785649456e-15,0.536831815311,0.524264989977,0.621642922664,198772.110395
128.0,1101245.0,1.12209091658e-15,0.531376169334,0.522760491627,0.622717601622,190493.395281
129.0,1066358.0,1.08769575406e-15,0.525896922706,0.521269348961,0.62378177337,182346.961329
130.0,1031972.0,1.05460847385e-15,0.520400360684,0.51979136067,0.624835614626,174421.627869
131.0,998378.9,1.02276986747e-15,0.514892355807,0.51839235842,0.625850246548,166778.804672
132.0,964968.6,9.921236795e-16,0.509378389396,0.517029397881,0.626844731844,159304.819658
133.0,931636.5,9.62616823891e-16,0.50386357219,0.515678144697,0.627829868456,151977.800597
134.0,899129.3,9.34198847076e-16,0.498352664105,0.514338425751,0.628805808543,144918.707046
135.0,866949.7,9.06821882967e-16,0.492850093157,0.513010071562,0.629772700744,138044.295923
136.0,834550.2,8.80440502405e-16,0.487359973539,0.511692916187,0.630730690279,131267.039882
137.0,802993.9,8.55011572396e-16,0.481886122888,0.510386797124,0.631679919055,124753.623423
138.0,771935.8,8.30494124432e-16,0.476432078757,0.50909155522,0.632620525763,118446.259348
139.0,740258.8,8.06849231242e-16,0.471001114311,0.507807034584,0.63355264597,112172.638486
140.0,709394.4,7.84039990534e-16,0.465596253276,0.506584461299,0.634455541964,106157.404641
141.0,679247.8,7.62030919255e-16,0.460220284168,0.505389367757,0.635343335752,100375.697624
142.0,648057.2,7.40788755487e-16,0.454875773813,0.504203920298,0.636223344525,94563.1576836
143.0,617655.8,7.20281653493e-16,0.449565080209,0.503027983507,0.637095687036,88988.9135926
144.0,588032.5,7.00479299691e-16,0.444290364724,0.501861424685,0.637960479455,83646.1228727
145.0,557324.7,6.81352828979e-16,0.439053603689,0.500704113775,0.638817835444,78267.9627282
146.0,527092.2,6.62874746179e-16,0.433856599382,0.499555923296,0.639667866227,73075.4409495
147.0,497649.8,6.45018852232e-16,0.428700990448,0.498416728278,0.640510680655,68107.8713315
148.0,467303.9,6.27760174839e-16,0.423588261775,0.497286406193,0.641346385275,63130.9843688
149.0,436995.8,6.11074795939e-16,0.41851975384,0.496171825689,0.642171942733,58274.2443785
150.0,407417.2,5.94940139459e-16,0.413496671566,0.495110026662,0.642970773599,53629.5720822
151.0,376132.9,5.79334514791e-16,0.4085200927,0.494056305946,0.643763037117,48871.6754746
152.0,343472.6,5.64237242223e-16,0.403590975737,0.493010555828,0.644548827573,44049.9667857
153.0,311598.8,5.49628579015e-16,0.398710167416,0.491972670653,0.645328237321,39443.4354375
154.0,280368.2,5.35489671186e-16,0.393878409805,0.490942546774,0.646101356835,35028.5575342
155.0,248947.5,5.21802508086e-16,0.389096346992,0.489920082499,0.646868274755,30697.7126793
156.0,218287.1,5.08549879561e-16,0.384364531413,0.488905178048,0.647629077941,26565.7666089
157.0,182213.4,4.95715335547e-16,0.37968342982,0.487897735503,0.648383851514,21885.8263079
158.0,119989.6,4.83283147949e-16,0.375053428918,0.486897658762,0.649132678902,14223.5467739
159.0,59258.46,4.7123827465e-16,0.370474840684,0.485904853498,0.649875641889,6932.5111591
160.0,0.0,4.59566518719e-16,0.365947907388,0.484949148662,0.650602020557,0.0
